2023-6-18,95297,78709
2023-6-20,95304,78709
2023-6-21,95312,78709
2023-6-22,95319,78709
2023-6-23,95326,78709
2023-6-24,95338,78709
2023-6-26,95350,78709
2023-6-27,95361,78709
2023-6-28,95383,78709
2023-6-29,95425,78709
2023-7-1,95465,78709
2023-7-2,95509,78709
2023-7-3,95519,78709
2023-7-4,95529,78709
2023-7-5,95536,78709
2023-7-6,95552,78709
2023-7-10,95575,78709
2023-7-11,95603,78709
2023-7-12,95614,78709
2023-7-13,95631,78709
2023-7-14,95638,78709
2023-7-16,95650,78709
2023-7-17,95673,78709
2023-7-18,95684,78709
2023-7-19,95700,78709
2023-7-20,95712,78709
2023-7-21,95746,78709
2023-7-22,95790,78709
2023-7-23,95829,78709
2023-7-25,95889,78709
2023-7-26,95938,78709
2023-7-28,96073,78709
2023-7-30,96187,78709
2023-7-31,96211,78709
2023-8-1,96221,78709
2023-8-2,96285,78709
2023-8-3,96360,78709
2023-8-4,96416,78709
2023-8-5,96481,78709
2023-8-6,96540,78709
2023-8-7,96546,78709
2023-8-8,96554,78709
2023-8-9,96634,78709
2023-8-10,96731,78709
2023-8-11,96776,78709
2023-8-12,96802,78709
2023-8-13,96824,78709
2023-8-14,96831,78709
2023-8-15,96841,78709
2023-8-16,96880,78709
2023-8-17,96914,78709
2023-8-18,96928,78709
2023-8-19,96945,78709
2023-8-20,96948,78709
2023-8-21,96965,78709
2023-8-22,96985,78709
2023-8-23,96990,78709
2023-8-24,97004,78709
2023-8-25,97021,78709
2023-8-26,97033,78709
2023-8-27,97049,78709
2023-8-28,97088,78709
2023-8-29,97100,78709
2023-8-31,97116,78709
2023-9-1,97126,78709
2023-9-2,97141,78709
2023-9-3,97152,78709
2023-9-4,97169,78709
2023-9-5,97184,78709
2023-9-6,97197,78709
2023-9-7,97211,78709
2023-9-8,97218,78709
2023-9-9,97225,78709
2023-9-10,97243,78709
2023-9-11,97253,78709
2023-9-12,97258,78709
2023-9-13,97260,78709
2023-9-14,97270,78709
2023-9-15,97285,78709
2023-9-16,97295,78709
2023-9-17,97305,78709
2023-9-18,97313,78709
2023-9-19,97319,78709
2023-9-20,97359,78709
2023-9-21,97370,78709
2023-9-22,97392,78709
2023-9-23,97410,78709
2023-9-24,97430,78709
2023-9-25,97452,78709
2023-9-26,97463,78709
2023-9-27,97476,78709
2023-9-28,97494,78709
2023-9-29,97502,78709
2023-9-30,97509,78709
2023-10-1,97517,78709
2023-10-2,97530,78709
2023-10-5,97553,78709
2023-10-6,97574,78709
2023-10-7,97599,78709
2023-10-8,97614,78709
2023-10-9,97639,78709
2023-10-11,97650,78709
2023-10-12,97658,78709
2023-10-13,97674,78709
2023-10-14,97690,78709
2023-10-15,97721,78709
2023-10-17,97723,78709
2023-10-18,97736,78709
2023-10-20,97766,78709
2023-10-21,97774,78709
2023-10-22,97786,78709
2023-10-23,97765,78709
2023-10-24,97780,78709
2023-10-26,97825,78709
2023-10-27,97832,78709
2023-10-28,97849,78709
2023-10-29,97864,78709
2023-10-31,97881,78709
2023-11-4,97902,78709
2023-11-5,97913,78709
2023-11-6,97928,78709
2023-11-7,97937,78709
2023-11-8,97943,78709
2023-11-9,97965,78709
2023-11-10,97973,78709
2023-11-11,97981,78709
2023-11-12,97990,78709
2023-11-13,97997,78709
2023-11-14,97996,78709
2023-11-23,98140,78709
2023-11-25,98144,78709
2023-11-26,98159,78709
2023-11-27,98163,78709
2023-11-28,98177,78709
2023-12-2,98215,78709
2023-12-3,98231,78709
2023-12-5,98245,78709
2023-12-6,98257,78709
2023-12-7,98265,78709
2023-12-8,98267,78709
2023-12-9,98272,78709
2023-12-11,98290,78709
2023-12-12,98306,78709
2023-12-13,98311,78709
2023-12-14,98318,78709
2023-12-16,98347,78709
2023-12-17,98360,78709
2023-12-19,98383,78709
2023-12-20,98395,78709
2023-12-22,98398,78709
2023-12-23,98404,78709
2023-12-24,98415,78709
2023-12-25,98430,78709
2023-12-27,98437,78709
2023-12-28,98451,78709
2023-12-29,98475,78709
2023-12-30,98494,78709
2023-12-31,98498,78709
2024-1-1,98510,78709
2024-1-3,98529,78709
2024-1-4,98541,78709
2024-1-5,98553,78709
2024-1-6,98562,78709
2024-1-7,98578,78709
2024-1-8,98587,78709
2024-1-9,98602,78709
2024-1-10,98607,78709
2024-1-12,98639,78709
2024-1-13,98636,78709
2024-1-14,98646,78709
2024-1-15,98658,78709
2024-1-17,98673,78709
2024-1-18,98682,78709
2024-1-19,98699,78709
2024-1-20,98711,78709
2024-1-22,98727,78709
2024-1-23,98733,78709
2024-1-24,98743,78709
2024-1-25,98758,78709
2024-1-26,98763,78709
2024-1-27,98773,78709
2024-1-28,98782,78709
2024-1-29,98787,78709
2024-1-30,98792,78709
2024-1-31,98807,78709
2024-2-1,98830,78709
2024-2-3,98842,78709
2024-2-4,98846,78709
2024-2-5,98853,78709
2024-2-6,98864,78709
2024-2-7,98874,78709
2024-2-8,98889,78709
2024-2-9,98897,78709
2024-2-10,98903,78709
2024-2-11,98913,78709
2024-2-12,98918,78709
2024-2-13,98934,78709
2024-2-14,98941,78709
2024-2-15,98948,78709
2024-2-16,98952,78709
2024-2-17,98962,78709
2024-2-18,98993,78709
2024-2-20,99026,78709
2024-2-21,99043,78709
2024-2-22,99052,78709
2024-2-23,99062,78709
2024-2-24,99083,78709
2024-2-26,99094,78709
2024-2-27,99117,78709
2024-2-28,99138,78709
2024-2-29,99178,78709
2024-3-1,99184,78709
2024-3-2,99189,78709
2024-3-3,99201,78709
2024-3-4,99215,78709
2024-3-5,99216,78709
2024-3-6,99231,78709
2024-3-7,99244,78709
2024-3-8,99261,78709
2024-3-10,99273,78709
2024-3-11,99276,78709
2024-3-12,99290,78709
2024-3-13,99305,78709
2024-3-14,99315,78709
2024-3-15,99324,78709
2024-3-16,99333,78709
2024-3-17,99341,78709
2024-3-18,99349,78709
2024-4-2,99540,78709
2024-4-4,99534,78709
2024-4-5,99540,78709
2024-4-6,99544,78709
2024-4-7,99562,78709
2024-4-8,99568,78709
2024-4-9,99574,78709
2024-4-10,99573,78709
2024-4-11,99579,78709
2024-4-12,99588,78709
2024-4-13,99600,78709
2024-4-14,99615,78709
2024-4-15,99622,78709
2024-4-16,99633,78709
2024-4-17,99644,78709
2024-4-18,99655,78709
2024-4-19,99662,78709
2024-4-20,99672,78709
2024-4-21,99682,78709
2024-4-22,99696,78709
2024-4-23,99698,78709
2024-4-24,99704,78709
2024-4-25,99714,78709
2024-4-26,99732,78709
2024-4-28,99741,78709
2024-4-29,99762,78709
2024-4-30,99774,78709
2024-5-1,99783,78709
2024-5-2,99798,78709
2024-5-3,99803,78709
2024-5-4,99813,78709
2024-5-5,99819,78709
2024-5-6,99834,78709
2024-5-7,99854,78709
2024-5-8,99864,78709
2024-5-9,99867,78709
2024-5-11,99892,78709
2024-5-12,99912,78709
2024-5-13,99924,78709
2024-5-14,99939,78709
2024-5-15,99947,78709
2024-5-16,99961,78709
2024-5-17,100024,78709
2024-5-18,100073,78709
2024-5-19,100133,78709
2024-5-20,100150,78709
2024-5-21,100165,78709
2024-5-22,100194,78709
2024-5-23,100205,78709
2024-5-24,100228,78709
2024-5-25,100243,78709
2024-5-26,100251,78709
2024-5-27,100261,78709
2024-5-28,100271,78709
2024-5-29,100273,78709
2024-5-30,100285,78709
2024-5-31,100292,78709
2024-6-1,100300,78709
2024-6-2,100305,78709
2024-6-3,100327,78709
2024-6-4,100337,78709
2024-6-5,100349,78709
2024-6-6,100346,78709
2024-6-7,100355,78709
2024-6-8,100374,78709
2024-6-9,100375,78709
2024-6-10,100389,78709
2024-6-11,100403,78709
2024-6-12,100407,78709
2024-6-13,100421,78709
2024-6-14,100427,78709
2024-6-15,100440,78709
2024-6-16,100442,78709
2024-6-17,100447,78709
2024-6-18,100461,78709
2024-6-19,100450,78709
2024-6-20,100455,78709
2024-6-22,100471,78709
2024-6-23,100472,78709
2024-6-24,100489,78709
2024-6-25,100496,78709
2024-6-26,100512,78709
2024-6-27,100532,78709
2024-6-28,100550,78709
2024-6-29,100557,78709
2024-6-30,100577,78709
2024-7-1,100579,78709
2024-7-2,100593,78709
2024-7-3,100594,78709
2024-7-5,100618,78709
2024-7-6,100629,78709
2024-7-7,100639,78709
2024-7-8,100636,78709
2024-7-9,100652,78709
2024-7-10,100659,78709
2024-7-11,100662,78709
2024-7-12,100677,78709
2024-7-13,100682,78709
2024-7-14,100706,78709
2024-7-15,100727,78709
2024-7-16,100735,78709
2024-7-17,100745,78709
2024-7-18,100759,78709
2024-7-19,100784,78709
2024-7-20,100795,78709
2024-7-21,100800,78709
2024-7-22,100802,78709
2024-7-23,100820,78709
2024-7-24,100843,78709
2024-7-25,100887,78709
2024-7-26,100897,78709
2024-7-27,100915,78709
2024-7-28,100940,78709
2024-7-28,100946,78709
2024-7-30,100958,78709
2024-7-31,100975,78709
2024-8-1,100981,78709
2024-8-2,100991,78709
2024-8-4,101021,78709
2024-8-5,101030,78709
2024-8-6,101052,78709
2024-8-8,101048,78709
2024-8-9,101067,78709
2024-8-10,101075,78709
2024-8-11,101098,78709
2024-8-12,101113,78709
2024-8-13,101133,78709
2024-8-14,101154,78709
2024-8-15,101150,78709
2024-8-16,101157,78709
2024-8-17,101176,78709
2024-8-18,101187,78709
2024-8-19,101217,78709
2024-8-22,101242,78709
2024-8-23,101260,78709
2024-8-24,101274,78709
2024-8-25,101283,78709
2024-8-26,101300,78709
2024-8-30,101378,78709
2024-9-1,101411,78709
2024-9-3,101470,78709
2024-9-4,101481,78709
2024-9-5,101491,78709
2024-9-6,101503,78709
2024-9-7,101514,78709
2024-9-8,101566,78709
2024-9-9,101593,78709
2024-9-10,101611,78709
2024-9-11,101630,78709
2024-9-12,101639,78709
2024-9-13,101650,78709
2024-9-14,101663,78709
2024-9-15,101673,78709
2024-9-16,101681,78709
2024-9-17,101692,78709
2024-9-18,101703,78709
2024-9-19,101725,78709
2024-9-20,101735,78709
2024-9-21,101744,78709
2024-9-22,101746,78709
2024-9-23,101757,78709
2024-9-24,101770,78709
2024-9-25,101790,78709
2024-9-26,101793,78709
2024-9-27,101807,78709
2024-9-28,101815,78709
2024-9-29,101827,78709
2024-9-30,101841,78709
2024-10-1,101850,78709
2024-10-2,101866,78709
2024-10-3,101875,78709
2024-10-4,101882,78709
2024-10-5,101900,78709
2024-10-6,101912,78709
2024-10-7,101931,78709
2024-10-8,101943,78709
2024-10-9,101960,78709
2024-10-10,101974,78709
2024-10-12,102005,78709
2024-10-14,102039,78709
2024-10-15,102052,78709
2024-10-16,102062,78709
2024-10-17,102073,78709
2024-10-18,102083,78709
2024-10-19,102093,78709
2024-10-20,102118,78709
2024-10-21,102128,78709
2024-10-22,102139,78709
2024-10-23,102157,78709
2024-10-24,102166,78709
2024-10-26,102179,78709
2024-10-27,102185,78709
2024-10-28,102201,78709
2024-10-29,102221,78709
2024-10-30,102224,78709
2024-10-31,102249,78709
2024-11-1,102257,78709
2024-11-2,102270,78709
2024-11-4,102277,78709
2024-11-5,102288,78709
2024-11-6,102293,78709
2024-11-7,102302,78709
2024-11-9,102326,78709
2024-11-10,102339,78709
2024-11-11,102355,78709
2024-11-12,102362,78709
2024-11-13,102373,78709
2024-11-14,102376,78709
2024-11-15,102378,78709
2024-11-16,102385,78709
2024-11-18,102400,78709
2024-11-20,102425,78709
2024-11-21,102439,78709
2024-11-22,102455,78709
2024-11-23,102468,78709
2024-11-24,102469,78709
2024-11-25,102480,78709
2024-11-26,102486,78709
2024-11-27,102496,78709
2024-11-28,102504,78709
2024-11-30,102515,78709
2024-12-1,102521,78709
2024-12-2,102528,78709
2024-12-3,102540,78709
2024-12-4,102543,78709
2024-12-5,102564,78709
2024-12-6,102574,78709
2024-12-7,102585,78709
2024-12-8,102597,78709
2024-12-9,102609,78709
2024-12-10,102628,78709
2024-12-11,102640,78709
2024-12-12,102643,78709
2024-12-13,102647,78709
2024-12-14,102659,78709
2024-12-24,102771,78709
2024-12-25,102786,78709
2024-12-26,102793,78709
2024-12-27,102802,78709
2024-12-28,102806,78709
2024-12-29,102831,78709
2024-12-30,102844,78709
2025-1-5,102915,78709
2025-1-14,102993,78709
2025-1-16,103018,78709
2025-1-17,103037,78709
2025-1-18,103042,78709
2025-1-19,103055,78709
2025-1-20,103065,78709
2025-1-21,103079,78709
2025-1-22,103092,78709
2025-1-23,103108,78709
2025-1-24,103126,78709
2025-1-25,103148,78709
2025-1-27,103174,78709
2025-1-29,103189,78709
2025-1-30,103228,78709
2025-1-31,103255,78709
2025-2-1,103286,78709
2025-2-2,103336,78709
2025-2-3,103351,78709
2025-2-4,103381,78709
2025-2-5,103425,78709
2025-2-6,103454,78709
2025-2-7,103470,78709
2025-2-8,103501,78709
2025-2-9,103551,78709
2025-2-10,103565,78709
2025-2-12,103612,78709
2025-2-14,103624,78709
2025-2-15,103635,78709
2025-2-16,103649,78709
2025-2-17,103660,78709
2025-2-18,103674,78709
2025-2-19,103688,78709
2025-2-20,103697,78709
2025-2-21,103704,78709
2025-2-22,103715,78709
2025-2-23,103722,78709
2025-2-24,103740,78709
2025-2-25,103752,78709
2025-2-26,103765,78709
2025-2-27,103772,78709
2025-2-28,103780,78709
2025-3-1,103789,78709
2025-3-2,103798,78709
2025-3-3,103811,78709
2025-3-4,103824,78709
2025-3-5,103828,78709
2025-3-6,103831,78709
2025-3-7,103804,78709
2025-3-9,103815,78709
2025-3-10,103825,78709
2025-3-11,103830,78709
2025-3-12,103843,78709
2025-3-13,103855,78709
2025-3-14,103860,78709
2025-3-15,103877,78709
2025-3-16,103888,78709
2025-3-17,103901,78709
2025-3-18,103917,78709
2025-3-19,103935,78709
2025-3-20,103946,78709
2025-3-21,103961,78709
2025-3-22,103984,78709
2025-3-23,103996,78709
2025-3-24,104010,78709
2025-3-25,104015,78709
2025-3-26,104031,78709
2025-3-27,104081,78709
2025-3-28,104108,78709
2025-3-29,104131,78709
2025-3-30,104153,78709
2025-3-31,104155,78709
2025-4-1,104158,78709
2025-4-2,104191,78709
2025-4-3,104207,78709
2025-4-4,104233,78709
2025-4-5,104247,78709
2025-4-6,104260,78709
2025-4-7,104270,78709
2025-4-8,104287,78709
2025-4-9,104309,78709
2025-4-10,104335,78709
2025-4-11,104348,78709
2025-4-12,104369,78709
2025-4-13,104400,78709
2025-4-14,104416,78709
2025-4-15,104428,78709
2025-4-16,104447,78709
2025-4-17,104443,78709
2025-4-18,104473,78709
2025-4-19,104478,78709
2025-4-20,104487,78709
2025-4-21,104501,78709
2025-4-22,104512,78709
2025-4-23,104525,78709
2025-4-24,104536,78709
2025-4-26,104560,78709
2025-4-27,104571,78709
2025-4-29,104620,78709
2025-5-1,104642,78709
2025-5-2,104648,78709
2025-5-3,104665,78709
2025-5-4,104729,78709
2025-5-5,104739,78709
2025-5-6,104748,78709
2025-5-7,104784,78709
2025-5-8,104801,78709
2025-5-9,104818,78709
2025-5-10,104827,78709
2025-5-11,104840,78709
2025-5-12,104861,78709
2025-5-13,104866,78709
2025-5-14,104874,78709
2025-5-15,104882,78709
2025-5-16,104889,78709
2025-5-19,104919,78709
2025-5-20,104929,78709
2025-5-21,104953,78709
2025-5-22,104964,78709
2025-5-23,104967,78709
2025-5-24,104976,78709
2025-5-25,104982,78709
2025-5-26,104985,78709
2025-5-27,105006,78709
2025-5-28,105020,78709
2025-5-31,105039,78709
2025-6-1,105055,78709
2025-6-2,105062,78709
2025-6-3,105082,78709
2025-6-4,105091,78709
2025-6-5,105106,78709
2025-6-6,105132,78709
2025-6-8,105157,78709
2025-6-9,105164,78709
2025-6-10,105175,78709
2025-6-11,105197,78709
2025-6-12,105207,78709
2025-6-13,105210,78709
2025-6-14,105233,78709
2025-6-15,105250,78709
2025-6-16,105258,78709
2025-6-17,105262,78709
2025-6-18,105290,78709
2025-6-19,105291,78709
2025-6-20,105305,78709
2025-6-21,105317,78709
2025-6-22,105333,78709
2025-6-23,105342,78709
2025-6-24,105353,78709
2025-6-25,105368,78709
2025-6-26,105369,78709
2025-6-28,105397,78709
2025-6-29,105406,78709
2025-6-30,105426,78709
2025-7-1,105432,78709
2025-7-2,105441,78709
2025-7-3,105455,78709
2025-7-4,105458,78709
2025-7-6,105511,78709
2025-7-7,105524,78709
2025-7-10,105548,78709
2025-7-11,105549,78709
2025-7-12,105558,78709
2025-7-13,105559,78709
2025-7-14,105571,78709
2025-7-15,105590,78709
2025-7-16,105598,78709
2025-7-17,105615,78709
2025-7-18,105627,78709
2025-7-19,105635,78709
2025-7-20,105677,78709
2025-7-21,105690,78709
2025-7-22,105711,78709
2025-7-23,105720,78709
2025-7-24,105732,78709
2025-7-25,105758,78709
2025-7-26,105781,78709
2025-7-27,105807,78709
2025-7-28,105824,78709
2025-8-5,105949,78709
2025-8-6,105971,78709
2025-8-7,106002,78709
2025-8-8,106021,78709
2025-8-9,106029,78709
2025-8-10,106042,78709
2025-8-11,106057,78709
2025-8-12,106071,78709
2025-8-13,106087,78709
2025-8-14,106099,78709
2025-8-15,106108,78709
2025-8-16,106130,78709
2025-8-17,106159,78709
2025-8-18,106180,78709
2025-8-19,106205,78709
2025-8-20,106226,78709
2025-8-21,106239,78709
2025-8-22,106257,78709
2025-8-23,106268,78709
2025-8-24,106277,78709
2025-8-25,106292,78709
2025-8-26,106317,78709
2025-8-27,106332,78709
2025-8-28,106340,78709
2025-8-29,106344,78709
2025-8-30,106362,78709
2025-8-31,106383,78709
2025-9-1,106407,78709
2025-9-2,106421,78709
2025-9-5,106446,78709
2025-9-6,106456,78709
2025-9-7,106468,78709
2025-9-8,106483,78709
2025-9-9,106497,78709
2025-9-11,106515,78709
2025-9-12,106529,78709
2025-9-13,106537,78709
2025-9-14,106551,78709
2025-9-15,106561,78709
2025-9-16,106572,78709
2025-9-17,106591,78709
2025-9-18,106601,78709
2025-9-19,106610,78709
2025-9-20,106623,78709
2025-9-21,106639,78709
2025-9-22,106666,78709
2025-9-23,106686,78709
2025-9-24,106700,78709
2025-9-26,106727,78709
2025-9-27,106746,78709
2025-9-28,106761,78709
2025-9-29,106776,78709
2025-9-30,106785,78709
2025-10-1,106804,78709
2025-10-2,106815,78709
2025-10-3,106826,78709
2025-10-4,106834,78709
2025-10-5,106850,78709
2025-10-6,106859,78709
2025-10-7,106866,78709
2025-10-9,106896,78709
2025-10-10,106914,78709
2025-10-11,106928,78709
2025-10-12,106932,78709
2025-10-14,106963,78709
2025-10-15,106973,78709
2025-10-17,107001,78709
2025-10-18,107014,78709
2025-10-19,107024,78709
2025-10-20,107044,78709
2025-10-21,107048,78709
2025-10-22,107063,78709
2025-10-23,107065,78709
2025-10-24,107081,78709
2025-10-25,107090,78709
2025-10-27,107121,78709
2025-10-29,107154,78709
2025-10-30,107163,78709
2025-10-31,107170,78709
2025-11-1,107179,78709
2025-11-2,107191,78709
2025-11-3,107201,78709
2025-11-5,107208,78709
2025-11-6,107225,78709
2025-11-7,107250,78709
2025-11-8,107266,78709
2025-11-9,107286,78709
2025-11-12,107335,78709
2025-11-13,107361,78709
2025-11-14,107372,78709
2025-11-15,107382,78709
2025-11-16,107397,78709
2025-11-17,107404,78709
2025-11-18,107427,78709
2025-11-20,107440,78709
2025-11-21,107451,78709
2025-11-22,107466,78709
2025-11-23,107489,78709
2025-11-24,107494,78709
2025-11-25,107509,78709
2025-11-26,107524,78709
2025-11-27,107530,78709
2025-11-29,107546,78709
2025-11-30,107563,78709
2025-12-1,107612,78709
2025-12-2,107593,78709
2025-12-4,107615,78709
2025-12-5,107623,78709
2025-12-6,107642,78709
2025-12-7,107646,78709
2025-12-9,107672,78709
2025-12-10,107698,78709
2025-12-11,107709,78709
2025-12-13,107722,78709
2025-12-14,107749,78709
2025-12-15,107763,78709
2025-12-16,107777,78709
2025-12-18,107796,78709
2025-12-20,107808,78709
2025-12-21,107812,78709
2025-12-24,107867,78709
2025-12-25,107877,78709
2025-12-26,107886,78709
2025-12-28,107912,78709
2025-12-30,107944,78709
2026-1-1,107982,78709
2026-1-4,108021,78709
2026-1-5,108029,78709
2026-1-10,108119,78709
2026-1-11,108128,78709
2026-1-17,108188,78709
2026-1-23,108263,78709
2026-1-24,108273,78709
2026-1-25,108280,78709
2026-1-26,108289,78709
2026-1-27,108296,78709
2026-1-28,108307,78709
2026-1-31,108336,78709
2026-4-26,109296,78709
2026-4-28,109302,78709
2026-4-29,109312,78709
2026-4-30,109316,78709
2026-5-1,109331,78709
2026-5-2,109337,78709
2026-5-4,109362,78709
2026-5-5,109369,78709
2026-5-6,109384,78709
2026-5-8,109402,78709
2026-5-11,109428,78709
2026-5-14,109508,78709
2026-5-15,109519,78709
2026-5-16,109546,78709
2026-5-17,109555,78709
2026-5-18,109566,78709
2026-5-19,109585,78709
2026-5-20,109597,78709
2026-5-21,109608,78709
2026-5-24,109627,78709
2026-5-25,109636,78709
2026-5-29,109659,78728
2026-6-7,109763,78859
2026-6-15,109871,79020
2026-6-18,109890,79075
2026-6-19,109891,79077
2026-6-20,109898,79103
2026-6-21,109911,79109
2026-6-23,109938,79115
2026-6-25,109966,79126
2026-6-26,109975,79136
2026-6-28,109997,79013
2026-6-30,110028,79016
2026-7-1,110039,79082
2026-7-2,110054,79093